CRN,Course,Section,Section Type,Title,Credit,Max Enrollment
12180,102,1,A,INTRO TO C PROGRAMMING,3,40
11373,104,1s,T,INTRO TO CS USING PYTHON,3,40
11374,104,2s,T,INTRO TO CS USING PYTHON,3,40
11375,104,3,T,INTRO TO CS USING PYTHON,3,40
11376,104,4,T,INTRO TO CS USING PYTHON,3,40
11377,121,1,T,COMPUTER SCIENCE I,3,50
11459,121,2,T,COMPUTER SCIENCE I,3,40
11460,121,3,T,COMPUTER SCIENCE I,3,39
11461,121,4,A,COMPUTER SCIENCE I,3,40
11463,214,1,T,INTRO DISCRETE STRUCTURE,3,52
11464,214,2,T,INTRO DISCRETE STRUCTURE,3,45
12345,214,3,T,INTRO DISCRETE STRUCTURE,3,45
12346,214,4,T,INTRO DISCRETE STRUCTURE,3,45
11465,221,1,T,COMP SCI II: DATA STRUCTURES,3,45
11466,221,2,T,COMP SCI II: DATA STRUCTURES,3,40
11467,221,3,T,COMP SCI II: DATA STRUCTURES,3,35
11468,307,1,T,OBJECT ORIENT/PROG C++,3,52
11469,309,1,T,COMPUTER ORG & SWTCHING THRY,3,42
11470,309,2,T,COMPUTER ORG & SWTCHING THRY,3,39
11473,317,1,S,INTRO DESIGN/ANALYSIS OF ALG,3,45
11474,317,2,T,INTRO DESIGN/ANALYSIS OF ALG,3,45
11475,317,3,A,INTRO DESIGN/ANALYSIS OF ALG,3,45
11476,321,1,T,INTRO OBJECT-ORIENTED PROG JAV,3,45
11477,321,2,T,INTRO OBJECT-ORIENTED PROG JAV,3,35
11478,321,3,T,INTRO OBJECT-ORIENTED PROG JAV,3,45
11479,330,1,T,ARTFCL INTEL & GAME DEV,3,51
11480,347,1,T,INTRO VIDEO GAME DESGN & PROGM,3,45
11481,370,1,T,INTRO COMPUTER NETWORKS,3,39
11482,370,2,A,INTRO COMPUTER NETWORKS,3,45
11483,390,1,T,UNIX/LINUX PROGRAMMING,3,45
11484,413,1,T,INTRO DIGITAL COMP ARCHITECTUR,3,52
11485,413,2,S,INTRO DIGITAL COMP ARCHITECTUR,3,45
11488,424,1,T,PRINCIPLES PROGRAMMING LANG,3,40
11489,424,2,T,PRINCIPLES PROGRAMMING LANG,3,46
11490,430,1,T,SURVEY ARTIFICIAL INTELLIGENCE,3,45
11491,430,2,T,SURVEY ARTIFICIAL INTELLIGENCE,3,23
11492,443,1,T,INTRO TO MULTIMEDIA SYSTEMS,3,36
11493,445,1,T,INTRO COMPUTER GRAPHICS,3,42
11494,454,1,T,INTRO TO CLOUD COMPUTING,3,12
11495,465,1,T,NETWORK SECURITY,3,38
11497,480,1,T,MOBILE DIGITAL FORENSICS,3,40
12285,480,2,T,MOBILE DIGITAL FORENSICS,3,30
11498,482,1,T,MODELING & SIMULATION II,3,25
11499,485,1,T,COMPUTER & SOFTWARE SECURITY,3,27
11500,488,1,T,INTRO TO BIG DATA COMPUTING,3,35
11503,490,1,T,INTRO TO OPERATING SYSTEMS,3,39
11506,490,2,T,INTRO TO OPERATING SYSTEMS,3,45
11509,490,3,A,INTRO TO OPERATING SYSTEMS,3,45
12391,495,28,T,ST: VOLUMETRIC B. E GENERATION,3,1
11513,496,1,T,ST: OFFENSEIVE SEC/PEN TESTING,3,30
11515,496,2,T,PHOTOFORENSICS,3,29
11518,499,1,T,SR PROJ:TEAM SOFTWARE DESIGN,3,45
11519,499,2,Z,SR PROJ:TEAM SOFTWARE DESIGN,3,0
12489,499,3,T,SR PROJ:TEAM SOFTWARE DESIGN,3,58
12692,499,4,T,SR PROJ:TEAM SOFTWARE DESIGN,3,38
