Conflict,Sec Type,CRN,Course,Title,Credit,Max Enrl,Days,Start,End,Bldg,Room,Instructor
Itself and Another Course,Z,11519,499 2,SR PROJ:TEAM SOFTWARE DESIGN,3,0,MW,9:40 AM,11:00 AM,TBA,TBA, Allen Mary
Other Course,T,12285,480 2,MOBILE DIGITAL FORENSICS,3,30,MW,4:20 PM,5:40 AM,OKT,N327, Bailey Carmine
Other Course,T,11480,347 1,INTRO VIDEO GAME DESGN & PROGM,3,45,MW,11:20 AM,12:40 AM,LIB,205, Newman  Timothy
Other Course,T,11483,390 1,UNIX/LINUX PROGRAMMING,3,45,MW,9:40 AM,11:00 AM,OKT,N326, Hardin Danny
Other Course,T,11484,413 1,INTRO DIGITAL COMP ARCHITECTUR,3,52,MW,4:20 PM,5:40 AM,OKT,S105, Etzkorn Letha
Other Course,T,11488,424 1,PRINCIPLES PROGRAMMING LANG,3,40,TR,9:40 AM,11:00 AM,OKT,N155, Schrimpsher Dan
None,T,11489,424 2,PRINCIPLES PROGRAMMING LANG,3,46,MW,9:40 AM,11:00 AM,OKT,N324, Rochowiak Daniel
Other Course,T,11490,430 1,SURVEY ARTIFICIAL INTELLIGENCE,3,45,MW,4:20 PM,5:40 AM,OKT,N306, Rheinfurth Klaus
Other Course,T,11491,430 2,SURVEY ARTIFICIAL INTELLIGENCE,3,23,MW,2:40 PM,4:00 PM,OKT,N327, Preston Robert
Other Course,T,11492,443 1,INTRO TO MULTIMEDIA SYSTEMS,3,36,MW,11:20 AM,12:40 AM,OKT,N326, Chung  Haeyong
Other Course,T,11493,445 1,INTRO COMPUTER GRAPHICS,3,42,TR,11:20 AM,12:40 AM,OKT,S105, Delugach Catherine
Other Course,T,11494,454 1,INTRO TO CLOUD COMPUTING,3,12,TR,11:20 AM,12:40 AM,OKT,N155, Banerjee  Mukherjee Chaity
Other Course,T,11495,465 1,NETWORK SECURITY,3,38,TR,6:00 PM,7:20 AM,OKT,N324, Rose Thomson
Self,T,11497,480 1,MOBILE DIGITAL FORENSICS,3,40,TBA,TBA,TBA,OKT,N324, TBA TBA
Self,T,11481,370 1,INTRO COMPUTER NETWORKS,3,39,TBA,TBA,TBA,OKT,N324, TBA TBA
Other Course,T,11498,482 1,MODELING & SIMULATION II,3,25,MW,6:00 PM,7:20 AM,OKT,N306, Petty Mikel
Self,T,11499,485 1,COMPUTER & SOFTWARE SECURITY,3,27,TBA,TBA,TBA,OKT,N306, TBA TBA
Other Course,T,11500,488 1,INTRO TO BIG DATA COMPUTING,3,35,TR,6:00 PM,7:20 AM,OKT,N327, McEniry Charles
Self,T,11503,490 1,INTRO TO OPERATING SYSTEMS,3,39,TBA,TBA,TBA,OKT,N327, TBA TBA
Other Course,T,11506,490 2,INTRO TO OPERATING SYSTEMS,3,45,TR,6:00 PM,7:20 AM,LIB,205, Jones Joshua
Other Course,T,12391,495 28,ST: VOLUMETRIC B. E GENERATION,3,1,MW,4:20 PM,5:40 AM,OKT,N326, Hauenstein Jacob
Other Course,T,11513,496 1,ST: OFFENSEIVE SEC/PEN TESTING,3,30,MW,9:40 AM,11:00 AM,OKT,S105, Allen Mary
Other Course,T,11515,496 2,PHOTOFORENSICS,3,29,MW,4:20 PM,5:40 AM,OKT,N155, Bailey Carmine
Other Course,T,11518,499 1,SR PROJ:TEAM SOFTWARE DESIGN,3,45,MW,11:20 AM,12:40 AM,OKT,N324, Newman  Timothy
Other Course,T,12489,499 3,SR PROJ:TEAM SOFTWARE DESIGN,3,58,MW,9:40 AM,11:00 AM,OKT,N306, Hardin Danny
Other Course,T,12692,499 4,SR PROJ:TEAM SOFTWARE DESIGN,3,38,MW,4:20 PM,5:40 AM,LIB,205, Etzkorn Letha
Other Course,T,11466,221 2,COMP SCI II: DATA STRUCTURES,3,40,TR,9:40 AM,11:00 AM,OKT,N326, Schrimpsher Dan
Other Course,T,11373,104 1s,INTRO TO CS USING PYTHON,3,40,MW,4:20 PM,5:40 AM,OKT,N324, Rheinfurth Klaus
Other Course,T,11374,104 2s,INTRO TO CS USING PYTHON,3,40,MW,2:40 PM,4:00 PM,OKT,N306, Preston Robert
Other Course,T,11375,104 3,INTRO TO CS USING PYTHON,3,40,MW,11:20 AM,12:40 AM,OKT,N327, Chung  Haeyong
Other Course,T,11376,104 4,INTRO TO CS USING PYTHON,3,40,TR,11:20 AM,12:40 AM,LIB,205, Delugach Catherine
Other Course,T,11377,121 1,COMPUTER SCIENCE I,3,50,TR,11:20 AM,12:40 AM,OKT,N326, Banerjee  Mukherjee Chaity
Other Course,T,11459,121 2,COMPUTER SCIENCE I,3,40,TR,6:00 PM,7:20 AM,OKT,S105, Rose Thomson
Self,T,11460,121 3,COMPUTER SCIENCE I,3,39,TBA,TBA,TBA,OKT,S105, TBA TBA
Self,T,11463,214 1,INTRO DISCRETE STRUCTURE,3,52,TBA,TBA,TBA,OKT,S105, TBA TBA
Other Course,T,11464,214 2,INTRO DISCRETE STRUCTURE,3,45,MW,6:00 PM,7:20 AM,OKT,N155, Petty Mikel
Self,T,12345,214 3,INTRO DISCRETE STRUCTURE,3,45,TBA,TBA,TBA,OKT,N155, TBA TBA
Other Course,T,12346,214 4,INTRO DISCRETE STRUCTURE,3,45,TR,6:00 PM,7:20 AM,OKT,N306, McEniry Charles
Self,T,11465,221 1,COMP SCI II: DATA STRUCTURES,3,45,TBA,TBA,TBA,OKT,N306, TBA TBA
Other Course,T,11479,330 1,ARTFCL INTEL & GAME DEV,3,51,TR,6:00 PM,7:20 AM,OKT,N326, Jones Joshua
Other Course,T,11467,221 3,COMP SCI II: DATA STRUCTURES,3,35,MW,4:20 PM,5:40 AM,OKT,N326, Hauenstein Jacob
Other Course,T,11468,307 1,OBJECT ORIENT/PROG C++,3,52,MW,9:40 AM,11:00 AM,OKT,N155, Allen Mary
Other Course,T,11469,309 1,COMPUTER ORG & SWTCHING THRY,3,42,MW,11:20 AM,12:40 AM,OKT,N306, Newman  Timothy
Other Course,T,11470,309 2,COMPUTER ORG & SWTCHING THRY,3,39,MW,4:20 PM,5:40 AM,OKT,N306, Etzkorn Letha
Other Course,T,11474,317 2,INTRO DESIGN/ANALYSIS OF ALG,3,45,TR,9:40 AM,11:00 AM,OKT,N327, Schrimpsher Dan
Other Course,T,11476,321 1,INTRO OBJECT-ORIENTED PROG JAV,3,45,MW,4:20 PM,5:40 AM,OKT,N327, Rheinfurth Klaus
Other Course,T,11477,321 2,INTRO OBJECT-ORIENTED PROG JAV,3,35,MW,11:20 AM,12:40 AM,OKT,S105, Chung  Haeyong
Other Course,T,11478,321 3,INTRO OBJECT-ORIENTED PROG JAV,3,45,TR,11:20 AM,12:40 AM,OKT,N324, Delugach Catherine
Itself and Another Course,S,11473,317 1,INTRO DESIGN/ANALYSIS OF ALG,3,45,TR,11:20 AM,12:40 AM,TBA,TBA, Banerjee  Mukherjee Chaity
Itself and Another Course,S,11485,413 2,INTRO DIGITAL COMP ARCHITECTUR,3,45,TR,6:00 PM,7:20 AM,TBA,TBA, Rose Thomson
Self,A,11461,121 4,COMPUTER SCIENCE I,3,40,TBA,TBA,TBA,TBA,TBA, Quattlebaum Stephen
Self,A,11509,490 3,INTRO TO OPERATING SYSTEMS,3,45,TBA,TBA,TBA,TBA,TBA, Petty Mikel
Self,A,11475,317 3,INTRO DESIGN/ANALYSIS OF ALG,3,45,TBA,TBA,TBA,TBA,TBA, McNicholas James
Self,A,11482,370 2,INTRO COMPUTER NETWORKS,3,45,TBA,TBA,TBA,TBA,TBA, Acharya Deepak Bhaskar
Self,A,12180,102 1,INTRO TO C PROGRAMMING,3,40,TBA,TBA,TBA,TBA,TBA, Hauenstein Jacob
